CVE_ENT,CVE_MUN,NOM_MUN,clave,mun_hect,CN_T1,CN_T2,CN_T3,CN_T4,CN_T5,Pro_CN_T1,Prop_CN_T2,Prop_CN_T3,Prop_CN_T4,Prop_CN_T5
12,072,Zapotitln Tablas,12072,22875.3652842374,15945.20600000000013097,15946.14400000000023283,16042.95900000000074215,15789.48400000000037835,15794.46256100000027800,0.69704705485019181,0.69708805965987874,0.70132034180256930,0.69023964443007046,0.69045728296559283
12,076,Acatepec,12076,63414.6066276483,49109.23399999999674037,48668.76699999999982538,48701.38900000000285218,45839.29699999999866122,45836.64772239999729209,0.77441517990255471,0.76746935111919112,0.76798377518857863,0.72285076637240231,0.72280898928442705
12,077,Marquelia,12077,20882.2937571344,18010.92599999999947613,15375.43100000000049477,15632.78800000000046566,10436.94700000000011642,9871.06950766000045405,0.86249749234786988,0.73629033183900161,0.74861450479591518,0.49979887848451682,0.47270044289495572
12,079,Jos Joaquin de Herrera,12079,13241.2305967766,6049.18699999999989814,5632.88600000000042201,5627.84699999999975262,6291.44300000000021100,6289.81575994000013452,0.45684477404030660,0.42540502250381856,0.42502446875066308,0.47514035451746967,0.47501746261190941
12,080,Juchitn,12080,25651.1908118766,13543.61100000000078580,11713.25300000000061118,11669.92300000000068394,7289.53099999999994907,6864.70674308999969071,0.52799151116716403,0.45663583752909903,0.45494663719848755,0.28417904858533583,0.26761746826629251
12,081,Iliatenco,12081,23949.8986410475,23929.97999999999956344,23932.41800000000148430,23896.48900000000139698,23907.00800000000162981,23907.85524340000119992,0.99916832044485726,0.99927011628276630,0.99776994291925891,0.99820915145862077,0.99824452711564127
12,023,Cuajinicuilapa,12023,63362.5417960338,14586.19399999999950523,11405.74400000000059663,11529.86499999999978172,12773.74799999999959255,12794.62893810000059602,0.23020216024403597,0.18000767767043629,0.18196657951499218,0.20159778376819434,0.20192733080826131
12,062,Tlacoachistlahuaca,12062,80114.2138927751,75656.66999999999825377,74030.88599999999860302,74079.72199999999429565,70927.32399999999324791,70928.79241090000141412,0.94436013690727749,0.92406680915677430,0.92467638887586578,0.88532759111796522,0.88534592008642976
12,065,Tlalixtaquilla de Maldonado,12065,11586.1151132916,8587.59499999999934516,8649.86399999999957799,8631.94700000000011642,8413.66699999999946158,8419.81299865000073623,0.74119710671166250,0.74657155702491418,0.74502513703643625,0.72618534493480336,0.72671580735382002
12,004,Alcozauca de Guerrero,12004,47153.0890993330,36144.02500000000145519,34953.31100000000151340,35028.70199999999749707,34350.42100000000209548,34354.41589250000106404,0.76652507164183381,0.74127298269615227,0.74287183870834650,0.72848718198795381,0.72857190374375613
12,043,Metlatnoc,12043,60641.1271236407,52617.63399999999819556,51066.48599999999714782,51074.41599999999743886,50575.21899999999732245,50576.69597020000219345,0.86768891832630901,0.84210977635493078,0.84224054569211404,0.83400855819982700,0.83403291411585390
12,078,Cochoapa el Grande,12078,62017.2313854969,54487.92500000000291038,53254.16999999999825377,53317.53800000000046566,54699.98900000000139698,54704.91244189999997616,0.87859331644950422,0.85869957123648377,0.85972135177367204,0.88201275319736250,0.88209214148655257
12,002,Ahuacuotzingo,12002,87105.0315849659,74232.24400000000605360,72591.34500000000116415,72395.55499999999301508,70096.17299999999522697,70097.95114180000382476,0.85221533876135236,0.83337717327145866,0.83112942711446391,0.80473161796199166,0.80475203172877019
12,048,Petatln,12048,197694.2920000000,157799.99400000000605360,133281.91099999999278225,113783.82600000000093132,117727.10000000000582077,111355.63895799999590963,0.79820207454446901,0.67418188786148670,0.57555443229488901,0.59550075426558102,0.56327189738993577
12,003,Ajuchitln del Progreso,12003,199025.1700000000,154235.66300000000046566,144803.26199999998789281,144773.69699999998556450,132923.32999999998719431,132894.10833300001104362,0.77495556466551441,0.72756255904717970,0.72741400999682593,0.66787195810459543,0.66772513412750756
12,007,Arcelia,12007,75286.1320594422,56491.05399999999644933,50645.66399999999703141,50932.71899999999732245,46074.05999999999767169,46170.00224249999882886,0.75035139214480373,0.67270907157260640,0.67652192517721654,0.61198601574619615,0.61326038381207382
12,011,Atoyac de lvarez,12011,144782.5240000000,128398.95799999999871943,117285.64800000000104774,107680.52400000000488944,106282.92200000000593718,107521.80611200000566896,0.88684016863803250,0.81008152613778162,0.74373979003156487,0.73408667747773204,0.74264353971339803
12,014,Benito Jurez,12014,23208.8071656328,3119.38500000000021828,1035.83200000000010732,2064.78200000000015280,2526.28499999999985448,2528.32244536999996853,0.13440522719405984,0.04463098825405566,0.08896545114380086,0.10885027317305988,0.10893806076832316
12,016,Coahuayutla de Jos Mara Izazaga,12016,263766.9930000000,215096.64799999998649582,203758.83699999999953434,150524.35300000000279397,210187.43599999998696148,210363.91134399999282323,0.81547977460546006,0.77249558287226627,0.57067167990954804,0.79686784767645269,0.79753690540044175
12,027,Cutzamala de Pinzn,12027,133037.8840000000,82099.42799999999988358,76490.57399999999324791,73678.32499999999708962,72386.59299999999348074,69602.10123139999632258,0.61711315252127741,0.57495332682831901,0.55381461869913684,0.54410511369829062,0.52317504712717766
12,054,San Miguel Totolapan,12054,236849.9990000000,214795.09400000001187436,193946.19699999998556450,198511.43400000000838190,184765.59400000001187436,185109.51451800001086667,0.90688239352705258,0.81885665112457939,0.83813145382364984,0.78009539700272490,0.78154745746061838
12,057,Tcpan de Galeana,12057,284813.7190000000,234881.31200000000535510,207961.01699999999254942,164818.33900000000721775,165275.18700000000535510,164240.36611400000401773,0.82468398230493956,0.73016502761933322,0.57868820216486838,0.58029222602159836,0.57665890073925830
12,064,Tlalchapa,12064,46936.1954380137,28589.06499999999869033,25619.32400000000052387,24654.18700000000171713,24383.09100000000034925,24125.38532670000131475,0.60910486530072838,0.54583299223376902,0.52527024761859020,0.51949440666109237,0.51400385356246436
12,067,Tlapehuala,12067,28591.6070190049,16604.29100000000107684,15874.57500000000072760,16084.77599999999983993,12057.19499999999970896,12056.76665549999961513,0.58074003986425438,0.55521800469096183,0.56256984748385830,0.42170399837915923,0.42168901690226235
