CVE_ENT,CVE_MUN,NOM_MUN,clave,mun_hect,1976,1993,2002,2011,CN_T5,Pro_CN_T1,Prop_CN_T2,Prop_CN_T3,Prop_CN_T4,Prop_CN_T5
12,60,Tetipac,12060,21608.4391841616,14672.158,12836.717,10794.036,15194.31,15295.0512357,0.6790012863,0.5940603526,0.4995287215,0.7031655489,0.7078276735
12,55,Taxco de Alarcn,12055,64791.057342289,41944.863,39271.942,39057.816,44150.846,44330.7269351,0.6473866104,0.6061321363,0.6028272666,0.6814342567,0.6842105802
12,15,Buenavista de Cullar,12015,30367.2201941587,23391.33,21337.326,21259.581,22361.719,22361.0231347,0.770282227,0.7026433721,0.7000832103,0.7363768846,0.7363539696
12,50,Pungarabato,12050,12645.316650467,5710.305,3716.465,3022.834,2874.2,2873.08124126,0.4515746942,0.293900509,0.239047711,0.227293636,0.2272051638
12,38,Zihuatanejo de Azueta,12038,147105.457,134201.273,117118.087,93456.3,99201.641,97196.3807802,0.9122793657,0.7961505262,0.6353013811,0.674357315,0.6607258681
12,1,Acapulco de Jurez,12001,172997.085,132575.551,118807.922,85557.359,98243.363,98130.5926429,0.7663455774,0.686762566,0.4945595413,0.5678902798,0.567238417
16,108,Zamora,16108,33489.6794127319,13369.174,13195.602,12886.581,12656.675,12675.8559628,0.3992028062,0.3940199557,0.3847926055,0.3779276249,0.3785003674
16,85,Tanganccuaro,16085,38361.4665215276,15157.494,16675.48,15807.553,15807.554,15679.7749725,0.3951229026,0.4346934962,0.4120685269,0.412068553,0.4087376316
16,52,Lzaro Crdenas,16052,114744.583,93443.393,82905.087,82503.949,73496.145,73391.1512407,0.8143599511,0.7225185262,0.7190226052,0.640519518,0.6396044965
16,8,Aquila,16008,226216.192,204295.077,190624.156,186702.222,182915.272,182871.789746,0.9030966139,0.8426636233,0.8253265177,0.8085861157,0.8083939002
16,10,Arteaga,16010,342258.819,326330.699,307338.306,310500.874,304125.02,304393.514473,0.9534617689,0.8979704508,0.9072107328,0.8885819827,0.8893664606
